1.1	0.5	1.2	0.8	1.2
0.2	0.64	0.66	0.09	0.66
0.5	0.11	0.34	0.65	1.3
0.4	0.66	0.09	0.68	2.5
0.21	1.3	0.59	0.08	0.9
0.65	2.5	0.23	0.76	0.78
0.55	0.9	0.55	0.56	0.45
0.15	0.78	0.45	0.33	0.98
0.71	0.55	0.98	1.3	1.09
0.65	0.7	1.09	0.09	0.87
1.8	0.64	0.87	0.87	0.15
2.5	0.11	0.34	0.3	0.71
2.6	0.66	1.8	0.11	0.65
0.76	1.3	3.6	0.39	1.8
1.4	2.5	2.6	0.5	2.5
1.7	0.9	0.87	0.88	2.6
2.9	0.78	0.11	0.76	0.76
2.4	0.55	0.55	0.87	1.4
0.01	1.3	0.66	3.7	0.64
0.76	0.87	0.15	0.45	0.11
0.75	0.3	0.71	0.33	0.55
0.3	0.25	0.65	0.12	0.66
0.09	0.56	1.8	0.45	0.15
0.65	0.4	2.5	0.64	0.71
0.68	1.8	2.6	0.11	0.65
0.08	3.6	0.76	0.66	1.8
0.76	2.6	1.4	1.3	2.5
0.56	0.87	0.64	2.5	2.6
0.33	0.11	0.11	0.9	0.6
0.11	0.4	0.66	0.78	0.44
0.39	0.18	1.3	0.55	0.34
0.5	1.3	2.5	1.4	0.49
0.88	0.76	0.9	0.77	0.12
0.76	0.44	0.64	0.66	0.56
0.87	0.34	0.11	0.56	0.77
0.34	0.92	0.66	0.34	0.1
1.8	0.27	1.3	0.16	1.08
3.6	0.88	2.5	0.67	2.09
2.6	0.45	0.9	0.12	0.55
0.87	0.18	0.78	0.5	0.11
0.11	0.49	0.55	0.65	0.44
0.4	0.67	1.2	0.65	0.46
0.18	0.88	1.09	1.2	0.23
2.6	0.66	0.33	1.4	0.55
0.6	0.56	0.11	0.6	0.45
0.44	0.3	0.9	1.4	0.98
0.34	0.44	0.78	1.009	1.09
0.49	0.59	0.55	1.89	0.87
0.12	0.3	1.4	2.98	0.34
0.56	0.09	0.77	0.08	1.8
0.77	0.04	0.66	0.445	3.6
0.1	0.05	0.56	0.45	2.6
1.08	0.07	0.34	0.01	0.87
0.565	0.55	0.16	0.009	0.11
0.6	0.5	0.67	0.87	0.55
0.76	0.12	0.12	0.87	0.66
0.04	0.6	0.5	0.88	0.15
0.86	0.54	0.65	0.647	0.71
0.11	0.076	0.65	1	0.009
1.2	1.3	2.5	1.4	0.18
0.6	1.7	0.9	0.6	0.49
0.67	0.67	0.78	0.08	0.67
0.65	0.34	0.55	0.76	0.88
0.68	0.44	1.2	0.56	1.89
0.778	0.2	1.09	0.33	2.98
0.54	0.78	0.33	0.11	0.08
0.77	0.45	0.11	0.39	0.445
0.65	0.98	1.09	0.5	0.45
0.75	1.09	0.87	0.88	0.01
0.12	0.87	0.15	0.76	0.009
0.56	0.15	0.71	0.87	0.87
0.66	0.71	0.65	0.34	0.87
0.9	0.65	1.8	0.768	1.3
0.44	1.8	2.5	0.89	2.4
0.44	0.9	2.6	0.87	0.09
1.2	0.44	0.76	0.12	0.87
0.33	0.44	1.4	0.55	0.12
1.3	1.2	0.4	0.44	1.3
0.44	0.33	0.44	0.664	2.5
0.664	1.3	0.12	0.56	0.9
0.56	0.44	0.15	0.657	0.64
0.657	0.664	0.98	0.12	0.11
0.12	0.56	0.64	0.45	0.66
0.45	0.657	0.75	0.56	1.3
0.56	0.12	0.88	1.4	0.56
0.12	0.78	0.667	0.64	0.657
1.2	0.889	0.87	0.11	0.12
0.33	0.546	0.45	0.55	0.45
0.54	0.65	0.546	0.66	0.56
1.3	0.78	0.55	0.15	0.12
2.5	0.12	0.76	0.71	1.2
0.5	0.34	0.546	0.65	0.33
0.003	0.56	0.778	1.8	0.87
0.54	0.56	0.09	2.5	0.76
0.87	0.56	0.54	2.6	0.33
0.86	0.776	0.77	0.6	0.34
0.88	0.949	0.87	0.87	0.88
1.2	0.1	1.2	0.7	1.2
1.4	0.2	1.3	0.4	2.8
0.5	1.2	0.7	0.6	0.5
